ワルツやメヌエットは何拍子の音楽？　,3拍子
丈の短い「クラシック」と膝丈の「ロマンティック」に分けられる、バレエダンサーが身に着けるスカートを何という？,チュチュ
1441年の嘉吉かきつの乱で暗殺された、室町幕府の6代将軍は？,足利義教
アンリ・ルソーの絵画『眠るジプシー女』に描かれている動物は？,ライオン
織田信長が築城した安土城がある都道府県は？,滋賀県
常温で液体となる２つの元素は？,水銀・臭素
日本初の高速道路は？,名神高速道路
「目には青葉山ほととぎす初鰹」という句を詠んだ俳人は？,山口素堂
お金を不足なく用意することを、「何を揃える」という？,耳
日本三大随筆とは、『枕草子』『方丈記』と何？,徒然草
夫・ピエールとともに研究を行い、新元素のラジウムとポロニウムを発見した、ポーランド出身の科学者は誰？,マリー・キュリー
美しい旧市街は「アドリア海の真珠」と称される、クロアチアの都市はどこ？,ドゥブロヴニク
豊富な科学知識を駆使し、ゼロから文明を取り戻そうと奮闘する、漫画『Dr.STONE』の主人公は誰？,千空
普通、ボトルの側面に「きざみ」がついているのは？,シャンプー
昔話『かちかち山』で、タヌキを成敗する動物は？,ウサギ
今年（2019年）シリーズ6年ぶりに最新作である『白銀しろがねの墟おか 玄くろの月』が発売された長編ファンタジー小説は何？,十二国記
香水の量を表わすときに使う単位は？,オンス
競馬場で、距離の単位として使うことがあるのは？,ハロン
マウナ・ロア、マウナ・ケア、キラウエアなどの火山がある、ハワイ諸島で最大の島は？,ハワイ島
14世紀の中世ヨーロッパで大流行し、人口を激減させた、「黒死病」と呼ばれた病気は？,ペスト
次の生物のうち、カンガルーやコアラと同じ「有袋類」なのは？,ウォンバット
推理作家のアガサ・クリスティが生み出した「灰色の脳細胞」を持つとされるベルギー生まれの名探偵は誰でしょう？,エルキュール・ポアロ
